qid,evidence_id,rel,legacy_chunk_id,annotation_source
A001,ev_9bd685aa3dfacca48a89,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_471",bm25/dense/dense_bm25/tfidf
A001,ev_3f6db27bef07099d8b2a,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_473",dense/dense_bm25/tfidf
A001,ev_f69da20f57e6cf96c946,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_474",bm25/dense_bm25
A001,ev_fd1853eeba692b035384,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_475",dense_bm25/tfidf
A001,ev_24af2ce3e7908af3398c,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_476",dense_bm25
A001,ev_1bd8cd76120805135be0,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_477",tfidf
A001,ev_ee4810ab502ebb66d7e6,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_91",bm25/dense/dense_bm25/tfidf
A001,ev_1fdc1ed49ae1c186d51b,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_974",dense/dense_bm25/tfidf
A001,ev_f231de424bcbdcc65bb4,0,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_260,bm25
A002,ev_f10b39eafdb513555fbc,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_124,tfidf
A002,ev_811b27e2f46b4c9de918,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_132,bm25
A002,ev_b4ca374ae91f28fa7acf,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_147,bm25
A002,ev_0c58ea45bbd8883579e3,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_149,bm25/dense_bm25
A002,ev_7200a50be48377b1e6df,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_261,bm25/tfidf
A002,ev_b04e9cc1b91fc477fe08,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_425,bm25/dense/dense_bm25/tfidf
A002,ev_cb268b3f4d4e3a13a9a7,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_427,dense
A002,ev_a9ec788418a3c417c1f1,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_428,bm25/dense_bm25/tfidf
A002,ev_43d57d9e6182fb4c543a,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_429,bm25/dense_bm25
A002,ev_978fe594d1fa720c377b,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_430,bm25
A002,ev_14b69ef9ade2ff6dc4b9,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_438,bm25
A002,ev_79d0b16a53bae7a23d55,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_439,dense_bm25
A002,ev_1b0e6b434c08fa818023,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_440,dense/dense_bm25/tfidf
A002,ev_ca1b8fd1918f1df7c9b9,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_443,tfidf
A002,ev_96767742b66f59cc140d,3,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_445,bm25/dense_bm25/tfidf
A002,ev_f8157ff88a337beff6a4,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_449,dense
A002,ev_48f89a9d3da59820e38c,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_48,bm25
A002,ev_ba328efadfd5950b2d49,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_489,dense/dense_bm25
A002,ev_a4e8e60fa5f935d57105,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_522,dense/dense_bm25
A002,ev_88420321ce3d2ab1fdbd,1,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_54,bm25/tfidf
A002,ev_a17c86183cc90187797c,1,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_1446,dense
A002,ev_a577d5da2ad6f48355eb,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_562",dense
A002,ev_ec846c63e0a9d59eb9f0,1,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_329",dense_bm25/tfidf
A002,ev_64320e2c5ce40f125378,1,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_331",dense
A002,ev_e27c7a99c1995b556041,1,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_336",dense/dense_bm25/tfidf
A002,ev_979335942472ff240e41,1,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_337",dense_bm25/tfidf
A002,ev_18adeaea7dc94aa191ac,1,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_338",bm25/dense_bm25
A002,ev_58e4d71d12c93437556f,1,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_55",dense/dense_bm25
A002,ev_4c4d0f537c533fe12aa2,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_114,dense_bm25
A002,ev_f4c40eeae4809b4b1d87,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_118,bm25/dense/dense_bm25/tfidf
A002,ev_ead1280ca4db797fe85f,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_122,bm25
A002,ev_7a138a39648935fdb1c5,3,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_137,bm25/dense/dense_bm25/tfidf
A002,ev_938b3ace2522ab2d4f27,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_138,dense
A002,ev_b7dad107b180df8f8879,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_151,dense/dense_bm25/tfidf
A002,ev_41dbdfa50b94f13a4166,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_152,dense
A002,ev_a8e546d49835c39e3742,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_161,dense
A002,ev_a2e48289c46fbf212dcf,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_167,dense
A002,ev_18385a5d5a9161e085e5,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_168,dense_bm25
A002,ev_6d2f0f82e61a8c0b95ac,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_169,dense
A002,ev_84f975d623769ac61dd9,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_170,bm25/tfidf
A002,ev_fd9de08c38c0511a6dfb,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_171,dense
A002,ev_56ee774d00d8d35932fc,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_182,tfidf
A002,ev_3d3f4471a53f0f75d728,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_183,dense
A002,ev_649d5b38460688920c5b,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_185,dense/dense_bm25
A002,ev_17ecc89aa629eaaae877,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_587,dense/dense_bm25
A002,ev_fb3c3f840aa1f0bb34b7,1,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_591,bm25/dense_bm25
A002,ev_5b022960accd6855bc87,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_264,bm25/dense_bm25/tfidf
A002,ev_c4858999b1b5bab956ac,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_266,dense/dense_bm25
A002,ev_014d614965836c457f88,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_270,dense_bm25
A002,ev_9af0c6e1221d01a52f97,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_273,dense/tfidf
A002,ev_368df5c2cd713ba59998,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_276,dense
A002,ev_89de3ed34311edc05e12,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_277,dense_bm25/tfidf
A002,ev_8c63004cf0889306e32a,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_297,dense/dense_bm25
A002,ev_2be4f2065a67d53bf795,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_309,dense
A002,ev_f4a31913a4395afbf4b2,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_312,dense
A002,ev_9e213ca83ed261f4d841,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_314,dense_bm25
A002,ev_90ec91619ba9cdf50530,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_489,dense/dense_bm25
A002,ev_6fae170c7e86cacd44e1,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_547,bm25/dense_bm25
A002,ev_c8575bbfdf50e3857a2f,1,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_96,tfidf
A003,ev_e25bf05ee2e88dcc05c5,0,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_17,bm25/dense_bm25
A003,ev_35d9ce306ee62a18c564,0,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_7,tfidf
A003,ev_b7204828f0cecaa48ba7,2,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_34,dense
A003,ev_915dc7b911fcac79bef9,2,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_35,dense
A003,ev_e445332169e15554ea27,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_108,bm25/dense_bm25/tfidf
A003,ev_157491e992354587eddb,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_11,dense/dense_bm25
A003,ev_9753262108d8e383b3b0,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_13,bm25
A003,ev_42ce0094f444fe0622cc,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_20,dense/dense_bm25
A003,ev_2e106b22622a97a3fc58,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_21,dense
A003,ev_3c29fc18fc1e59637b1e,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_24,dense/dense_bm25
A003,ev_281d84920b83b8f1a549,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_357,dense
A003,ev_d7bdc9b910d3312a5ce4,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_513,tfidf
A003,ev_c63db6d3d32b2d6131b1,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_520,tfidf
A003,ev_5e88b953f44587bb9160,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_53,bm25
A003,ev_6605a3b3095eb13958cf,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_540,bm25/dense_bm25/tfidf
A003,ev_7a64f4a287b6765c2c43,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_55,tfidf
A003,ev_9a68dc59aa59f8d9bea7,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_552,bm25/dense_bm25/tfidf
A003,ev_8b1fac83837791eecf73,3,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_11",dense/dense_bm25/tfidf
A003,ev_1f018eb603403fc93a1a,2,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_12",dense/dense_bm25
A003,ev_efae5b9475149b03c94d,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_13",tfidf
A003,ev_6954919c5c8caea10f42,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_18",dense
A003,ev_9345d173e16e7d45caff,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_268",bm25
A003,ev_950afd7b5dea28f2ee44,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_28",dense/dense_bm25
A003,ev_8c12e261ed1fefc4d171,0,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_3",bm25
A003,ev_5a1fffef0676859ac0b6,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_344",dense/dense_bm25
A003,ev_183456c9b9510e7ec8a2,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_366",bm25/dense_bm25
A003,ev_1588b305999bd4f04b7a,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_368",bm25
A003,ev_5b81b18108d5d3d38e20,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_391",dense_bm25
A003,ev_4dae9ef9c1ff2e88e93b,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_423",dense
A003,ev_92fee6f9eb554f139c33,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_43",dense/dense_bm25/tfidf
A003,ev_4e20f38aab4a0054a9fe,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_434",dense
A003,ev_1758cbc9634d0ad3585c,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_48",dense/dense_bm25
A003,ev_48f1c9b97f53d31a9e96,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_52",dense/dense_bm25
A003,ev_4333895b82a9f3c6e0fb,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_522",tfidf
A003,ev_9e87a1d5e0f290d5d0e0,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_55",dense
A003,ev_ce3de8e6a4339335a001,0,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_557",dense
A003,ev_b172c2899c8a20874f15,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_57",dense_bm25
A003,ev_bd7dcc773c2ead788c12,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_580",dense
A003,ev_a85e3a178bca0d91186c,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_63",bm25/dense/dense_bm25/tfidf
A003,ev_6a7f433e385f1a703bcd,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_683",dense
A003,ev_cb0705fd5c9d6c82926f,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_693",dense_bm25
A003,ev_754d72e016954507e279,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_733",dense
A003,ev_da4f7f2e902b8acaee9c,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_737",tfidf
A003,ev_14733cb426951f6222cd,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_738",dense
A003,ev_d120ee50d27811ef7eb9,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_75",dense
A003,ev_5bbf358d07572e878972,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_8",dense/dense_bm25/tfidf
A003,ev_9a2bb3c2d4ed9b6edafc,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_825",bm25/dense_bm25
A003,ev_a714deaf2ddb25cfa581,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_827",dense_bm25
A003,ev_e28387b125f4746d5d16,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_9",dense_bm25/tfidf
A003,ev_c96aa6bf487529d48b4d,2,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_90",dense
A003,ev_870f29ff040163eea5aa,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_910",bm25/dense_bm25
A003,ev_08a2834d88f906692034,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_918",tfidf
A003,ev_63a44deac5fc2104b793,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_920",bm25/dense_bm25/tfidf
A003,ev_12e1d049502fc2206353,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_922",bm25
A003,ev_f7efc821850118289eb1,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_927",dense_bm25
A003,ev_ff56efcb5b463e32d8cd,3,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_93",dense/dense_bm25/tfidf
A003,ev_1060dcd1a8a5557b2ee5,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_943",tfidf
A003,ev_28b4dbc594fe2e30924b,0,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_969",dense/dense_bm25
A003,ev_2ca5d2a0bf3d81b5029a,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_99",dense
A003,ev_3564f276adba74f83c45,0,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_317",bm25
A003,ev_2256f9d0e4681ee71e4a,0,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_359",bm25
A003,ev_17093a8828be0cc9ed70,0,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_455",bm25
A003,ev_bb6d07695194a4571f2e,0,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_228,bm25/dense_bm25/tfidf
A003,ev_2e87fbdde458528c9a4a,0,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_440,bm25/dense_bm25
A004,ev_99db76ecf0ed5b4ae2e7,1,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_103,dense
A004,ev_76e7ffbe1ae1957ba840,0,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_115",dense/dense_bm25
A004,ev_2ab956f9c9915dc67c66,0,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_119",dense
A004,ev_891cd55a8fd77500ea21,0,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_748",dense
A004,ev_56f92bc0122003cb5b72,0,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_75",dense
A004,ev_6133042c2249ecbef848,0,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_209,dense
A004,ev_2185411038309c5c2c72,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_28,dense_bm25
A004,ev_0913555f608ecd225bec,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_31,dense/dense_bm25
A004,ev_467f9f4cf133550dfb87,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_546,bm25/dense_bm25/tfidf
A004,ev_5a3316c24fe1bd5ba631,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_65,bm25/dense/dense_bm25/tfidf
A004,ev_56880ad136723521e7ed,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_69,bm25/dense_bm25
A004,ev_a5ccdb7d7b2d1a79f940,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_75,dense_bm25
A004,ev_e74e50254f41e8696d31,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_80,dense_bm25
A004,ev_1769b51c8004c2980844,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_81,dense_bm25
A004,ev_0d351610636aac8a5507,2,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_87,bm25
A004,ev_9893a411706ba0178ff9,1,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_97,tfidf
A004,ev_d22a1ac6ce8a9bb3d3d9,0,数据结构 (邓俊辉) (Z-Library)_chunk_141,dense
A004,ev_7d04a951802d4bb434f0,0,数据结构 (邓俊辉) (Z-Library)_chunk_306,dense
A004,ev_62b6faa2adac73cc18f3,0,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_12,bm25
A004,ev_96f3909be864e8d98c2f,0,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_314,bm25/dense_bm25
A004,ev_8e02a1682f78deb0e5e6,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_101",dense
A004,ev_a76c7468c6c46deffffe,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_104",dense/tfidf
A004,ev_d1a0fd35b5c996b19e2a,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_107",dense/tfidf
A004,ev_5da1b557bfef500c2762,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_108",dense/dense_bm25/tfidf
A004,ev_fa6aa95c65ec1e2f8d13,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_109",bm25/dense/dense_bm25/tfidf
A004,ev_d441089fd6a0212932d0,1,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_110",dense/dense_bm25
