qid,doc_id,rel,source
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_465",1,dense/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_466",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_467",1,dense
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_468",1,bm25/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_469",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_470",1,bm25/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_471",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_473",1,dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_474",1,bm25/dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_475",1,dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_476",1,dense_bm25
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_477",1,tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_91",1,bm25/dense/dense_bm25/tfidf
A001,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_974",1,dense/dense_bm25/tfidf
A001,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_260,0,bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_124,1,tfidf
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_132,1,bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_147,1,bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_149,1,bm25/dense_bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_261,1,bm25/tfidf
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_425,1,bm25/dense/dense_bm25/tfidf
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_427,1,dense
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_428,1,bm25/dense_bm25/tfidf
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_429,1,bm25/dense_bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_430,1,bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_438,1,bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_439,1,dense_bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_440,1,dense/dense_bm25/tfidf
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_443,1,tfidf
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_445,3,bm25/dense_bm25/tfidf
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_449,1,dense
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_48,1,bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_489,1,dense/dense_bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_522,1,dense/dense_bm25
A002,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_54,1,bm25/tfidf
A002,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_1446,1,dense
A002,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_562",1,dense
A002,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_329",1,dense_bm25/tfidf
A002,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_331",1,dense
A002,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_336",1,dense/dense_bm25/tfidf
A002,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_337",1,dense_bm25/tfidf
A002,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_338",1,bm25/dense_bm25
A002,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_55",1,dense/dense_bm25
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_114,1,dense_bm25
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_118,1,bm25/dense/dense_bm25/tfidf
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_122,1,bm25
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_137,3,bm25/dense/dense_bm25/tfidf
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_138,1,dense
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_151,1,dense/dense_bm25/tfidf
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_152,1,dense
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_161,1,dense
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_167,1,dense
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_168,1,dense_bm25
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_169,1,dense
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_170,1,bm25/tfidf
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_171,1,dense
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_182,1,tfidf
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_183,1,dense
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_185,1,dense/dense_bm25
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_587,1,dense/dense_bm25
A002,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_591,1,bm25/dense_bm25
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_264,1,bm25/dense_bm25/tfidf
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_266,1,dense/dense_bm25
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_270,1,dense_bm25
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_273,1,dense/tfidf
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_276,1,dense
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_277,1,dense_bm25/tfidf
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_297,1,dense/dense_bm25
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_309,1,dense
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_312,1,dense
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_314,1,dense_bm25
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_489,1,dense/dense_bm25
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_547,1,bm25/dense_bm25
A002,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_96,1,tfidf
A003,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_17,0,bm25/dense_bm25
A003,2024年王道计算机网络复习指导 (王道计算机) (Z-Library)_chunk_7,0,tfidf
A003,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_34,2,dense
A003,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_35,2,dense
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_108,1,bm25/dense_bm25/tfidf
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_11,2,dense/dense_bm25
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_13,2,bm25
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_20,1,dense/dense_bm25
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_21,1,dense
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_24,2,dense/dense_bm25
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_357,1,dense
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_513,1,tfidf
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_520,1,tfidf
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_53,1,bm25
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_540,1,bm25/dense_bm25/tfidf
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_55,1,tfidf
A003,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_552,1,bm25/dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_11",3,dense/dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_12",2,dense/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_13",1,tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_18",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_268",1,bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_28",1,dense/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_3",0,bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_344",1,dense/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_366",1,bm25/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_368",1,bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_391",1,dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_423",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_43",1,dense/dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_434",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_48",1,dense/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_52",1,dense/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_522",1,tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_55",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_557",0,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_57",1,dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_580",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_63",1,bm25/dense/dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_683",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_693",1,dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_733",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_737",1,tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_738",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_75",1,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_8",1,dense/dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_825",1,bm25/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_827",1,dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_9",1,dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_90",2,dense
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_910",1,bm25/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_918",1,tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_920",1,bm25/dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_922",1,bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_927",1,dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_93",3,dense/dense_bm25/tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_943",1,tfidf
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_969",0,dense/dense_bm25
A003,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_99",1,dense
A003,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_317",0,bm25
A003,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_359",0,bm25
A003,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_455",0,bm25
A003,计算机网络（原书第7版） 自顶向下方法 (James F. Kurose Keith W. Ross) (Z-Library)_chunk_228,0,bm25/dense_bm25/tfidf
A003,计算机网络（第8版） (谢希仁) (Z-Library)(OCR)_chunk_440,0,bm25/dense_bm25
A004,Operating Systems Three Easy Pieces (Remzi H. Arpaci-Dusseau etc.) (Z-Library)_chunk_103,1,dense
A004,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_115",0,dense/dense_bm25
A004,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_119",0,dense
A004,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_748",0,dense
A004,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_75",0,dense
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_209,0,dense
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_28,1,dense_bm25
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_31,1,dense/dense_bm25
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_546,2,bm25/dense_bm25/tfidf
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_65,2,bm25/dense/dense_bm25/tfidf
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_69,2,bm25/dense_bm25
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_75,2,dense_bm25
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_80,1,dense_bm25
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_81,1,dense_bm25
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_87,2,bm25
A004,操作系统导论-OSTEP (王海鹏 译) (Z-Library)_chunk_97,1,tfidf
A004,数据结构 (邓俊辉) (Z-Library)_chunk_141,0,dense
A004,数据结构 (邓俊辉) (Z-Library)_chunk_306,0,dense
A004,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_12,0,bm25
A004,数据结构（C语言版 第2版） (严蔚敏) (Z-Library)_chunk_314,0,bm25/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_101",1,dense
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_104",1,dense/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_107",1,dense/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_108",1,dense/dense_bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_109",1,bm25/dense/dense_bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_110",1,dense/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_111",2,dense
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_156",1,bm25/dense_bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_159",1,dense_bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_160",3,dense/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_161",2,dense/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_162",2,bm25/dense_bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_163",2,dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_165",1,bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_166",1,dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_169",2,bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_171",1,bm25/dense/dense_bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_172",1,bm25/dense/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_177",2,bm25/dense/dense_bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_181",1,dense
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_182",2,dense/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_183",2,dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_184",1,dense
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_446",1,dense
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_49",1,tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_529",1,dense
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_530",1,dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_552",1,bm25/tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_553",1,tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_704",1,tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_711",1,bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_718",1,dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_719",1,tfidf
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_795",1,dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_836",1,bm25/dense/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_847",1,dense/dense_bm25
A004,"现代操作系统 (Andrew S. Tanenbaum, Herbert Bos) (Z-Library)_chunk_865",1,bm25
A004,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_316",1,bm25
A004,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_43",0,dense
A004,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_449",0,bm25
A004,"计算机网络 (吴功宜,吴英) (Z-Library)(OCR)_chunk_450",0,tfidf
A005,Python数据结构与算法分析 第3版 (米勒 拉努姆 罗曼) (Z-Library)_chunk_176,0,dense
A005,Python数据结构与算法分析 第3版 (米勒 拉努姆 罗曼) (Z-Library)_chunk_180,0,dense
A005,Python数据结构与算法分析 第3版 (米勒 拉努姆 罗曼) (Z-Library)_chunk_190,0,tfidf
A005,Python数据结构与算法分析 第3版 (米勒 拉努姆 罗曼) (Z-Library)_chunk_194,0,bm25/dense_bm25
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_145",0,tfidf
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_305",0,dense
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_308",0,dense_bm25
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_325",0,dense
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_364",0,dense_bm25
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_466",0,dense_bm25
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_490",3,bm25/dense/dense_bm25/tfidf
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_492",1,bm25/dense/dense_bm25/tfidf
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_493",1,dense/dense_bm25
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_494",1,dense/dense_bm25
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_496",1,dense/dense_bm25
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_497",1,bm25/dense/dense_bm25/tfidf
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_580",0,dense
A005,"[计算机科学丛书]数据结构与算法 Python语言实现 (Michael T. Goodrich, Roberto Tamassia etc.) (Z-Library)_chunk_752",1,dense/dense_bm25
